time,leftEncoderCount,rightEncoderCount
10348,16.04,0.63
10358,16.43,1.64
10368,19.56,5.45
10378,25.90,9.75
10388,33.90,14.92
10398,42.95,21.44
10408,51.95,28.87
10418,60.94,36.48
10428,70.49,45.11
10438,80.19,53.77
10448,89.86,62.22
10458,99.98,71.22
10468,111.09,79.09
10478,121.73,87.44
10488,130.91,95.29
10498,140.45,103.29
10508,150.36,111.59
10518,162.12,119.51
10528,172.37,127.68
10538,180.30,135.76
10548,191.10,143.95
10558,201.42,152.37
10568,212.45,161.63
10578,223.20,170.55
10588,232.40,179.05
10598,241.56,187.55
10608,252.33,195.50
10618,262.42,203.74
10628,272.72,212.12
10638,282.99,220.43
10648,292.38,227.92
10658,302.03,236.19
10668,312.57,244.79
10678,324.51,253.27
10688,334.86,261.95
10698,343.76,270.48
10708,352.78,279.58
10718,363.97,288.34
10728,375.67,296.89
10738,384.62,304.48
10748,394.01,313.25
10758,403.27,322.50
10768,413.88,331.26
10778,425.59,339.64
10788,436.04,348.06
10798,446.03,356.64
10808,455.97,365.90
10818,465.15,375.60
10828,475.68,383.94
10838,486.74,392.65
10848,496.49,401.41
10858,505.41,409.84
10868,515.45,417.82
10878,526.46,426.14
10888,538.84,434.58
10898,548.28,443.06
10908,556.81,451.48
10918,566.69,459.65
10928,577.91,467.65
10938,588.08,476.31
10948,598.22,485.18
10958,607.87,494.04
10968,618.30,502.62
10978,628.55,510.47
10988,639.22,519.00
10998,649.88,528.02
11008,660.23,537.51
11018,668.68,544.95
11028,678.49,553.58
11038,689.73,561.87
11048,700.06,570.68
11058,710.38,579.32
11068,719.38,588.13
11078,729.71,597.07
11088,741.23,606.18
11098,752.08,615.59
11108,761.83,623.05
11118,770.99,631.42
11128,781.31,640.15
11138,791.69,649.13
11148,801.60,657.97
11158,812.03,666.34
11168,822.31,675.44
11178,831.56,683.37
11188,841.63,692.68
11198,853.76,701.15
11208,865.10,709.29
11218,873.52,717.14
11228,882.55,724.78
11238,893.06,733.07
11248,904.58,741.60
11258,914.65,750.07
11268,924.35,757.92
11278,933.95,766.63
11288,944.98,775.11
11298,955.41,783.53
11308,966.57,792.29
11318,976.69,801.60
11328,985.94,811.15
11338,995.46,819.96
11348,1006.39,828.33
11358,1017.29,836.26
11368,1028.40,844.58
11378,1037.21,852.61
11388,1045.61,861.58
11398,1057.35,869.46
11408,1069.05,877.77
11418,1079.22,886.17
11428,1088.48,895.40
11438,1097.45,904.50
11448,1108.82,913.53
11458,1119.31,922.47
11468,1129.71,931.55
11478,1139.93,940.33
11488,1150.26,948.78
11498,1160.25,957.05
11508,1171.07,965.42
11518,1181.94,973.92
11528,1192.09,982.66
11538,1201.55,991.06
11548,1210.68,999.37
11558,1222.55,1008.58
11568,1233.63,1017.32
11578,1243.10,1026.44
11588,1251.65,1035.10
11598,1262.24,1043.24
11608,1273.42,1051.06
11618,1284.38,1059.22
11628,1294.55,1067.23
11638,1304.04,1075.42
11648,1314.34,1083.37
11658,1324.49,1090.99
11668,1334.13,1099.64
11678,1344.83,1108.30
11688,1355.00,1117.38
11698,1363.60,1126.16
11708,1374.29,1135.08
11718,1385.77,1143.90
11728,1397.27,1152.14
11738,1406.84,1160.38
11748,1415.94,1168.51
11758,1426.01,1177.35
11768,1436.96,1185.83
11778,1447.52,1194.07
11788,1456.96,1202.08
11798,1466.37,1210.86
11808,1476.83,1219.55
11818,1488.70,1229.43
11828,1498.97,1238.90
11838,1509.11,1247.14
11848,1518.95,1256.19
11858,1528.28,1264.17
11868,1538.32,1272.64
11878,1550.03,1281.01
11888,1560.28,1288.97
11898,1569.67,1296.53
11908,1579.55,1304.46
11918,1589.85,1312.93
11928,1601.20,1321.07
11938,1612.25,1329.34
11948,1621.14,1338.88
11958,1630.87,1347.88
11968,1641.69,1356.48
11978,1651.92,1364.51
11988,1662.16,1372.47
11998,1672.52,1381.10
12008,1682.19,1390.31
12018,1691.82,1398.60
12028,1702.48,1406.76
12038,1713.62,1414.69
12048,1724.13,1423.19
12058,1733.51,1431.93
12068,1742.61,1440.56
12078,1754.09,1449.21
12088,1764.65,1457.85
12098,1774.92,1466.61
12108,1783.90,1475.81
12118,1793.78,1484.11
12128,1804.76,1492.61
12138,1816.31,1501.03
12148,1826.64,1509.87
12158,1836.26,1518.42
12168,1845.62,1527.13
12178,1855.56,1535.01
12188,1866.22,1543.28
12198,1876.34,1553.11
12208,1886.85,1561.61
12218,1896.73,1570.19
12228,1906.10,1578.38
12238,1917.75,1586.57
12248,1929.43,1594.94
12258,1939.37,1603.33
12268,1947.92,1611.10
12278,1957.81,1618.88
12288,1968.24,1627.64
12298,1978.96,1635.70
12308,1988.97,1644.74
12318,1998.67,1653.32
12328,2009.96,1662.61
12338,2019.90,1671.29
12348,2030.20,1679.87
